story_id,linear_id,planned_pts,actual_pts,started_at,completed_at,cycle_days,delta,status
S-139A,SEE-174,3,3,2026-04-08T00:05:46.207Z,2026-04-08T01:28:14.880Z,0.0573,+0,ok
S-139B,SEE-175,5,5,2026-04-08T02:34:03.702Z,2026-04-08T03:04:44.026Z,0.0213,+0,ok
S-139C,SEE-176,5,5,2026-04-09T00:29:18.729Z,2026-04-09T01:42:03.427Z,0.0505,+0,ok
S-139D,SEE-177,5,5,2026-04-09T16:08:58.878Z,2026-04-09T19:26:50.514Z,0.1374,+0,ok
S-139E,SEE-178,8,8,2026-04-09T20:50:38.528Z,2026-04-09T21:19:46.707Z,0.0202,+0,ok
S-139F,SEE-179,5,5,2026-04-09T22:34:43.506Z,2026-04-09T23:30:40.187Z,0.0389,+0,ok
S-139G,SEE-180,5,5,2026-04-10T00:35:56.486Z,2026-04-10T01:33:22.409Z,0.0399,+0,ok
S-139G-F1,SEE-190,1,1,2026-04-10T01:51:14.853Z,2026-04-10T02:08:09.993Z,0.0117,+0,ok
S-139G-F2,SEE-192,2,2,2026-04-10T03:17:48.789Z,2026-04-10T08:18:04.140Z,0.2085,+0,ok
S-139H,SEE-181,5,5,2026-04-10T17:52:00.305Z,2026-04-10T22:58:57.441Z,0.2132,+0,ok
S-139H-F1,SEE-193,1,1,2026-04-11T00:48:20.227Z,2026-04-11T00:56:34.383Z,0.0057,+0,ok
S-175,SEE-186,5,5,2026-04-08T21:21:49.289Z,2026-04-08T21:43:00.518Z,0.0147,+0,ok
S-176,SEE-187,3,3,2026-04-08T22:55:36.748Z,2026-04-08T23:02:17.139Z,0.0046,+0,ok
